scale,policy,instance_idx,solved,cumulative_flips,best_flips,n_tries,time_s
n50,minbreak,0,True,228,15,10,0.0072
n50,minbreak,1,True,190,14,10,0.0061
n50,minbreak,2,True,191,15,10,0.0058
n50,minbreak,3,True,249,14,10,0.0074
n50,minbreak,4,True,264,13,10,0.0081
n50,minbreak,5,True,273,19,10,0.0084
n50,minbreak,6,True,204,17,10,0.0063
n50,minbreak,7,True,210,14,10,0.0065
n50,minbreak,8,True,246,14,10,0.0075
n50,minbreak,9,True,185,14,10,0.0058
n50,minbreak,10,True,226,18,10,0.0068
n50,minbreak,11,True,368,19,10,0.0091
n50,minbreak,12,True,204,15,10,0.0063
n50,minbreak,13,True,215,13,10,0.0063
n50,minbreak,14,True,229,13,10,0.0064
n50,minbreak,15,True,193,16,10,0.0059
n50,minbreak,16,True,214,14,10,0.0064
n50,minbreak,17,True,337,18,10,0.0086
n50,minbreak,18,True,203,14,10,0.0065
n50,minbreak,19,True,236,13,10,0.0066
n50,minbreak,20,True,223,16,10,0.0067
n50,minbreak,21,True,224,16,10,0.0069
n50,minbreak,22,True,216,15,10,0.0068
n50,minbreak,23,True,202,12,10,0.0058
n50,minbreak,24,True,243,17,10,0.0068
n50,minbreak,25,True,229,15,10,0.0068
n50,minbreak,26,True,184,11,10,0.0056
n50,minbreak,27,True,205,15,10,0.0063
n50,minbreak,28,True,248,15,10,0.0069
n50,minbreak,29,True,230,16,10,0.0067
n50,minbreak,30,True,179,9,10,0.0058
n50,minbreak,31,True,212,16,10,0.0067
n50,minbreak,32,True,217,17,10,0.0071
n50,minbreak,33,True,187,14,10,0.0057
n50,minbreak,34,True,198,15,10,0.0061
n50,minbreak,35,True,241,20,10,0.0072
n50,minbreak,36,True,222,17,10,0.0068
n50,minbreak,37,True,238,15,10,0.007
n50,minbreak,38,True,210,17,10,0.006
n50,minbreak,39,True,237,17,10,0.0069
n50,minbreak,40,True,227,13,10,0.0069
n50,minbreak,41,True,206,15,10,0.0061
n50,minbreak,42,True,234,14,10,0.0069
n50,minbreak,43,True,335,16,10,0.0085
n50,minbreak,44,True,216,15,10,0.007
n50,minbreak,45,True,211,16,10,0.0066
n50,minbreak,46,True,246,15,10,0.0071
n50,minbreak,47,True,195,16,10,0.006
n50,minbreak,48,True,203,14,10,0.0065
n50,minbreak,49,True,213,15,10,0.0065
n50,minbreak,50,True,243,18,10,0.009
n50,minbreak,51,True,179,10,10,0.0059
n50,minbreak,52,True,195,16,10,0.0057
n50,minbreak,53,True,224,13,10,0.0062
n50,minbreak,54,True,203,17,10,0.0062
n50,minbreak,55,True,212,16,10,0.0063
n50,minbreak,56,True,234,13,10,0.007
n50,minbreak,57,True,259,18,10,0.0075
n50,minbreak,58,True,267,20,10,0.0074
n50,minbreak,59,True,241,19,10,0.007
n50,minbreak,60,True,209,14,10,0.0064
n50,minbreak,61,True,246,16,10,0.0075
n50,minbreak,62,True,220,15,10,0.0065
n50,minbreak,63,True,272,14,10,0.0075
n50,minbreak,64,True,221,19,10,0.0067
n50,minbreak,65,True,223,18,10,0.0067
n50,minbreak,66,True,260,15,10,0.0076
n50,minbreak,67,True,225,12,10,0.0069
n50,minbreak,68,True,222,17,10,0.0067
n50,minbreak,69,True,236,19,10,0.0072
n50,minbreak,70,True,194,12,10,0.0058
n50,minbreak,71,True,201,13,10,0.0063
n50,minbreak,72,True,180,12,10,0.0054
n50,minbreak,73,True,212,15,10,0.0066
n50,minbreak,74,True,216,15,10,0.0064
n50,minbreak,75,True,216,14,10,0.0062
n50,minbreak,76,True,238,18,10,0.0071
n50,minbreak,77,True,187,12,10,0.0061
n50,minbreak,78,True,234,14,10,0.0066
n50,minbreak,79,True,205,18,10,0.0065
n50,minbreak,80,True,223,15,10,0.0067
n50,minbreak,81,True,379,24,10,0.0097
n50,minbreak,82,True,401,18,10,0.0097
n50,minbreak,83,True,215,14,10,0.0064
n50,minbreak,84,True,194,13,10,0.0059
n50,minbreak,85,True,178,10,10,0.0056
n50,minbreak,86,True,228,18,10,0.0064
n50,minbreak,87,True,172,9,10,0.0057
n50,minbreak,88,True,158,8,10,0.0049
n50,minbreak,89,True,180,13,10,0.0058
n50,minbreak,90,True,203,12,10,0.006
n50,minbreak,91,True,220,14,10,0.0067
n50,minbreak,92,True,378,15,10,0.0092
n50,minbreak,93,True,222,16,10,0.0063
n50,minbreak,94,True,201,12,10,0.0064
n50,minbreak,95,True,339,21,10,0.0092
n50,minbreak,96,True,234,16,10,0.0068
n50,minbreak,97,True,214,16,10,0.0065
n50,minbreak,98,True,195,13,10,0.0058
n50,minbreak,99,True,206,11,10,0.0063
n50,noveltyplus,0,True,219,16,10,0.007
n50,noveltyplus,1,True,225,13,10,0.0067
n50,noveltyplus,2,True,182,13,10,0.0057
n50,noveltyplus,3,True,221,15,10,0.007
n50,noveltyplus,4,True,319,22,10,0.0091
n50,noveltyplus,5,True,257,19,10,0.0083
n50,noveltyplus,6,True,208,15,10,0.0064
n50,noveltyplus,7,True,210,16,10,0.0067
n50,noveltyplus,8,True,214,15,10,0.0072
n50,noveltyplus,9,True,202,14,10,0.0061
n50,noveltyplus,10,True,211,14,10,0.0067
n50,noveltyplus,11,True,309,18,10,0.0086
n50,noveltyplus,12,True,224,14,10,0.0067
n50,noveltyplus,13,True,238,15,10,0.0068
n50,noveltyplus,14,True,217,17,10,0.0064
n50,noveltyplus,15,True,206,16,10,0.0062
n50,noveltyplus,16,True,214,17,10,0.0066
n50,noveltyplus,17,True,285,15,10,0.0081
n50,noveltyplus,18,True,232,12,10,0.007
n50,noveltyplus,19,True,197,13,10,0.0063
n50,noveltyplus,20,True,219,16,10,0.0068
n50,noveltyplus,21,True,240,14,10,0.0073
n50,noveltyplus,22,True,245,17,10,0.0074
n50,noveltyplus,23,True,203,12,10,0.006
n50,noveltyplus,24,True,223,19,10,0.0067
n50,noveltyplus,25,True,242,17,10,0.0072
n50,noveltyplus,26,True,204,13,10,0.006
n50,noveltyplus,27,True,205,12,10,0.0065
n50,noveltyplus,28,True,266,17,10,0.0074
n50,noveltyplus,29,True,217,13,10,0.0068
n50,noveltyplus,30,True,212,16,10,0.0064
n50,noveltyplus,31,True,215,16,10,0.0069
n50,noveltyplus,32,True,259,20,10,0.0079
n50,noveltyplus,33,True,220,17,10,0.0062
n50,noveltyplus,34,True,220,13,10,0.0065
n50,noveltyplus,35,True,224,15,10,0.0072
n50,noveltyplus,36,True,225,15,10,0.0071
n50,noveltyplus,37,True,249,18,10,0.0072
n50,noveltyplus,38,True,203,15,10,0.0061
n50,noveltyplus,39,True,238,12,10,0.0072
n50,noveltyplus,40,True,234,14,10,0.0072
n50,noveltyplus,41,True,213,17,10,0.0064
n50,noveltyplus,42,True,198,14,10,0.0066
n50,noveltyplus,43,True,260,16,10,0.0077
n50,noveltyplus,44,True,219,18,10,0.0072
n50,noveltyplus,45,True,198,15,10,0.0089
n50,noveltyplus,46,True,240,18,10,0.0071
n50,noveltyplus,47,True,228,15,10,0.0065
n50,noveltyplus,48,True,257,17,10,0.0074
n50,noveltyplus,49,True,223,14,10,0.0068
n50,noveltyplus,50,True,264,14,10,0.0078
n50,noveltyplus,51,True,211,17,10,0.0065
n50,noveltyplus,52,True,202,17,10,0.0059
n50,noveltyplus,53,True,204,12,10,0.0061
n50,noveltyplus,54,True,186,15,10,0.0061
n50,noveltyplus,55,True,210,16,10,0.0064
n50,noveltyplus,56,True,230,15,10,0.0071
n50,noveltyplus,57,True,229,16,10,0.0072
n50,noveltyplus,58,True,225,17,10,0.007
n50,noveltyplus,59,True,222,11,10,0.0069
n50,noveltyplus,60,True,191,10,10,0.0063
n50,noveltyplus,61,True,221,15,10,0.0072
n50,noveltyplus,62,True,209,14,10,0.0065
n50,noveltyplus,63,True,246,15,10,0.0073
n50,noveltyplus,64,True,233,17,10,0.0071
n50,noveltyplus,65,True,221,17,10,0.0068
n50,noveltyplus,66,True,237,18,10,0.0075
n50,noveltyplus,67,True,232,17,10,0.0071
n50,noveltyplus,68,True,206,13,10,0.0066
n50,noveltyplus,69,True,233,14,10,0.0073
n50,noveltyplus,70,True,197,13,10,0.0059
n50,noveltyplus,71,True,221,20,10,0.0067
n50,noveltyplus,72,True,199,14,10,0.0057
n50,noveltyplus,73,True,243,17,10,0.0071
n50,noveltyplus,74,True,201,13,10,0.0063
n50,noveltyplus,75,True,218,13,10,0.0064
n50,noveltyplus,76,True,249,18,10,0.0074
n50,noveltyplus,77,True,209,14,10,0.0065
n50,noveltyplus,78,True,213,13,10,0.0066
n50,noveltyplus,79,True,203,12,10,0.0067
n50,noveltyplus,80,True,207,14,10,0.0067
n50,noveltyplus,81,True,341,21,10,0.0093
n50,noveltyplus,82,True,273,21,10,0.008
n50,noveltyplus,83,True,201,15,10,0.0063
n50,noveltyplus,84,True,226,16,10,0.0065
n50,noveltyplus,85,True,217,17,10,0.0062
n50,noveltyplus,86,True,207,14,10,0.0063
n50,noveltyplus,87,True,197,13,10,0.0061
n50,noveltyplus,88,True,185,14,10,0.0053
n50,noveltyplus,89,True,205,17,10,0.0063
n50,noveltyplus,90,True,165,13,10,0.0056
n50,noveltyplus,91,True,235,19,10,0.007
n50,noveltyplus,92,True,304,22,10,0.0084
n50,noveltyplus,93,True,220,12,10,0.0064
n50,noveltyplus,94,True,211,16,10,0.0067
n50,noveltyplus,95,True,372,20,10,0.01
n50,noveltyplus,96,True,222,18,10,0.0067
n50,noveltyplus,97,True,215,18,10,0.0066
n50,noveltyplus,98,True,207,16,10,0.006
n50,noveltyplus,99,True,195,15,10,0.0062
n50,interian(n5),0,True,203,15,10,0.0194
n50,interian(n5),1,True,184,13,10,0.0163
n50,interian(n5),2,True,182,14,10,0.0158
